City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Florianopolis,BR,78.8,moderate rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
245,San Quintin,MX,72.99,clear sky,30.4833,-115.95,Old Mill Hotel
246,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
248,Batticaloa,LK,77.77,light rain,7.7102,81.6924,Grand Star Guest House
249,Iracoubo,GF,77.25,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
256,Torres,BR,75.47,light rain,-29.3353,-49.7269,Farol Hotel
258,Mananara,MG,75.97,light rain,-16.1667,49.7667,Chez Roger
259,Pacific Grove,US,78.8,clear sky,36.6177,-121.9166,Lovers Point Inn
260,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
261,Balikpapan,ID,77.0,few clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
265,Juba,SS,79.32,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
267,La Fria,VE,84.2,light rain,8.2203,-72.2439,Estacionamiento de los toledos.
268,Mtwara,TZ,80.6,few clouds,-10.2667,40.1833,Til Hotels
269,Atambua,ID,74.12,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
272,Bechem,GH,76.48,scattered clouds,7.0903,-2.025,Orange Hotel
277,Cairns,AU,78.8,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
279,Hambantota,LK,73.4,overcast clouds,6.1241,81.1185,Bungalow 63
282,Brokopondo,SR,77.43,overcast clouds,4.75,-55.1667,Matu Island
283,Vaijapur,IN,74.25,broken clouds,19.9167,74.7333,HOTEL MATOSHRI
288,Sechura,PE,79.99,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
289,Ikwiriri,TZ,74.34,overcast clouds,-7.9562,38.9716,Greenland lodge
292,Port Blair,IN,79.39,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
296,Amahai,ID,82.99,heavy intensity rain,-3.3333,128.9167,HOTEL ISABELA
297,Buenos Aires,AR,77.0,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
301,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
303,Santa Ana,US,89.6,clear sky,33.7456,-117.8678,Best Western Plus Orange County Airport North
305,Tautira,PF,86.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
307,Uaua,BR,82.0,broken clouds,-9.8414,-39.4817,Hotel Uauá
308,Sao Filipe,CV,72.9,clear sky,14.8961,-24.4956,Tortuga B&B
310,Mpulungu,ZM,72.9,overcast clouds,-8.7623,31.1141,Nhkupi Lodge
311,Trenggalek,ID,75.13,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
312,Mapiripan,CO,84.11,broken clouds,2.8892,-72.1256,Monserrate
316,Diamantino,BR,74.75,broken clouds,-14.4086,-56.4461,Hotel Delta
321,Rio Grande City,US,73.0,scattered clouds,26.3798,-98.8203,La Borde House
322,Luanda,AO,77.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
326,Santa Rosalia,MX,72.39,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
331,Villarrica,PY,72.43,light rain,-25.75,-56.4333,Mansión Reljuv Tours SA
333,Camana,PE,73.38,clear sky,-16.6228,-72.7111,Hostal Morales
338,Bartica,GY,80.6,few clouds,6.4,-58.6167,Relax Inn Hotel
340,Bambanglipuro,ID,75.63,overcast clouds,-7.95,110.2833,Puri Brata
344,Cidreira,BR,75.36,moderate rain,-30.1811,-50.2056,Hotel Castelo
345,Pochutla,MX,84.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
349,Bell Ville,AR,85.24,clear sky,-32.6259,-62.6887,Hotel Central
353,Merida,MX,73.99,broken clouds,20.9667,-89.6167,Fiesta Americana Mérida
362,Nchelenge,ZM,72.45,light rain,-9.3451,28.734,KD Travellers Home
364,Flinders,AU,75.0,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
366,Tual,ID,82.96,light rain,-5.6667,132.75,Grand Vilia Hotel
367,Madang,PG,79.92,moderate rain,-5.2246,145.7966,Comfort Inn Hotel
370,Viedma,AR,82.0,clear sky,-40.8135,-62.9967,Hotel Cristal
374,Caravelas,BR,76.53,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
376,Luwuk,ID,77.23,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
378,Road Town,VG,78.8,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
382,Inverell,AU,75.0,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
383,Conde,BR,78.8,clear sky,-7.2597,-34.9075,Pousada Beija Flor
387,Amboasary,MG,80.6,few clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
388,Gorom-Gorom,BF,77.0,overcast clouds,14.4439,-0.2361,Mairie de Rambo
402,Kavaratti,IN,81.79,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
403,Noumea,NC,82.99,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
405,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
406,Obidos,BR,83.01,scattered clouds,-1.9175,-55.5181,Hotel Amazônia Center
407,Kendari,ID,75.25,overcast clouds,-3.945,122.4989,Hotel Wixel
411,Kilindoni,TZ,81.03,overcast clouds,-7.9139,39.6668,Bustani B&B
413,Olinda,BR,78.8,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
414,Dingle,PH,74.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
416,Kirakira,SB,84.7,light rain,-10.4544,161.9205,SanBiz Lodge
417,Mlandizi,TZ,80.6,scattered clouds,-6.7,38.7333,Amazon Lodge..
426,Kanigoro,ID,73.15,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
431,San Ramon,US,75.2,clear sky,37.7799,-121.978,San Ramon Marriott
433,Tres Lagoas,BR,75.97,moderate rain,-20.7511,-51.6783,Druds Express Hotel
439,Karratha,AU,89.47,broken clouds,-20.7377,116.8463,ibis Styles Karratha
440,Maragogi,BR,77.79,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
446,Witu,KE,78.8,haze,-2.3889,40.4382,New City Guest House
452,Ambilobe,MG,74.88,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
453,Wewak,PG,81.97,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
455,Labuhan,ID,76.89,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
470,Catamarca,AR,81.0,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
473,Manicore,BR,84.25,overcast clouds,-5.8092,-61.3003,Hotel Durval
474,Pucallpa,PE,89.6,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
476,Porangatu,BR,73.89,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
477,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
479,Port Hedland,AU,84.2,few clouds,-20.3167,118.5667,The Esplanade Hotel
480,Jalingo,NG,78.57,scattered clouds,8.8833,11.3667,Debright Motel
488,Ipixuna,BR,78.8,light rain,-1.7625,-48.8043,Casa da Oscarina
489,Tanete,ID,76.32,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
496,Eyl,SO,73.36,clear sky,7.9803,49.8164,Amiin Hotel
498,Hualmay,PE,73.4,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
499,Caririacu,BR,78.96,overcast clouds,-7.0422,-39.2836,Pousada Serrana
504,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
506,Makakilo City,US,75.2,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
508,Salinas,US,78.8,clear sky,36.6777,-121.6555,Good Nite Inn Salinas Monterey
509,Banikoara,BJ,74.17,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
511,Savannah Bight,HN,79.0,broken clouds,16.45,-85.85,Villa on Dunbar Rock
513,Limbang,MY,73.4,moderate rain,4.75,115.0,Purnama Hotel
516,Hervey Bay,AU,82.99,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
522,Malakal,SS,78.69,scattered clouds,9.5334,31.6605,Nile Palace Hotel
523,Buala,SB,82.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
525,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
534,Soyo,AO,79.52,broken clouds,-6.1349,12.3689,Hotel Mpampa
535,Bubaque,GW,78.13,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
537,Grand Gaube,MU,80.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
540,Alyangula,AU,77.0,light rain,-13.8483,136.4192,Groote Eylandt Lodge
542,Mount Isa,AU,77.0,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
546,Vung Tau,VN,72.7,scattered clouds,10.345999999999998,107.0843,Seaside Resort
547,Galle,LK,76.01,light rain,6.0367,80.217,Amangalla
551,Male,MV,82.4,few clouds,4.1748,73.5089,Hotel Octave Maldives
561,Beira,MZ,75.2,moderate rain,-19.8436,34.8389,Beira Terrace Hotel
570,Macapa,BR,84.2,scattered clouds,0.0389,-51.0664,Atalanta Hotel
580,Skeldon,GY,76.53,overcast clouds,5.8833,-57.1333,Rits Hotel
584,Kalmunai,LK,76.69,light rain,7.4167,81.8167,VS Villa
585,Jibuti,DJ,73.4,haze,11.5,42.5,Orchid Main Camp Goubet
590,Pandan,PH,78.57,overcast clouds,14.0453,124.1694,Bonifacio Lodge
592,Nicoya,CR,89.6,scattered clouds,10.1483,-85.45200000000001,Guayacan Real
595,Mayumba,GA,78.35,broken clouds,-3.432,10.6554,LIKWALE LODGE
596,Tete,MZ,77.0,light rain,-16.1564,33.5867,Zambeze Paraíso Misterioso
600,Juazeiro,BR,80.6,clear sky,-9.4117,-40.4986,JB Hotel
605,Auki,SB,83.26,light rain,-8.7676,160.7034,Auki Motel
616,Buta,CD,72.41,clear sky,2.7858,24.73,HOTEL BISO NA BISO
617,Waingapu,ID,78.12,light rain,-9.6567,120.2641,Pondok Wisata Elim
626,Yenagoa,NG,77.43,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
